,close
0,0.4856
1,0.4694
2,0.4662
3,0.4599
4,0.4487
5,0.4559
6,0.4561
7,0.4695
8,0.4571
9,0.4623
10,0.4776
11,0.4661
12,0.478
13,0.4624
14,0.4347
15,0.4171
16,0.4383
17,0.4416
18,0.4421
19,0.4578
20,0.4478
21,0.4904
22,0.5152
23,0.491
24,0.4993
25,0.4828
26,0.517
27,0.512
28,0.4752
29,0.4677
30,0.5111
31,0.513
32,0.5218
33,0.5263
34,0.5161
35,0.5124
36,0.4963
37,0.5005
38,0.4997
39,0.5174
40,0.5112
41,0.5276
42,0.5371
43,0.5129
44,0.5374
45,0.5303
46,0.5402
47,0.5593
48,0.5695
49,0.5499
50,0.557
51,0.5384
52,0.5119
53,0.45
54,0.4508
55,0.4626
56,0.4615
57,0.4658
58,0.4578
59,0.4645
60,0.4316
61,0.4499
62,0.4293
63,0.4504
64,0.4531
65,0.4462
66,0.4575
67,0.4543
68,0.4803
69,0.5035
70,0.4984
71,0.4625
72,0.4787
73,0.479
74,0.5022
75,0.5121
76,0.5098
77,0.5012
78,0.4635
79,0.4809
80,0.4662
81,0.4746
82,0.4859
83,0.4477
84,0.4527
85,0.4422
86,0.4389
87,0.4584
88,0.4618
89,0.4511
90,0.4464
91,0.4473
92,0.4411
93,0.4361
94,0.4381
95,0.4347
96,0.43
97,0.4194
98,0.4276
99,0.4355
100,0.4309
101,0.4288
102,0.424
103,0.4219
104,0.423
105,0.4012
106,0.3908
107,0.3814
108,0.3768
109,0.3667
110,0.3641
111,0.3703
112,0.3723
113,0.3624
114,0.3497
115,0.3402
116,0.3492
117,0.3513
118,0.3621
119,0.3573
120,0.4
121,0.403
122,0.3884
123,0.4044
124,0.42
125,0.4056
126,0.4055
127,0.4011
128,0.3856
129,0.3895
130,0.4216
131,0.4264
132,0.4021
133,0.4041
134,0.3722
135,0.3175
136,0.3687
137,0.3556
138,0.3397
139,0.3298
140,0.3323
141,0.3373
142,0.332
143,0.325
144,0.326
145,0.328
146,0.312
147,0.3046
148,0.3126
149,0.3185
150,0.3163
151,0.3146
152,0.3138
153,0.3126
154,0.3066
155,0.3092
156,0.3187
157,0.3145
158,0.3191
159,0.3196
160,0.3221
161,0.3193
162,0.3183
163,0.3102
164,0.3145
165,0.3118
166,0.3126
167,0.3074
168,0.3069
169,0.3142
170,0.3079
171,0.3003
172,0.2632
173,0.2672
174,0.2659
175,0.2529
176,0.2587
177,0.2534
178,0.2566
179,0.2594
180,0.2592
181,0.2591
182,0.2652
183,0.2603
184,0.2482
185,0.244
186,0.2458
187,0.2458
188,0.2499
189,0.2538
190,0.2529
191,0.2678
192,0.2692
193,0.2786
194,0.2768
195,0.2974
196,0.3168
197,0.3222
198,0.323
199,0.3293
200,0.3456
201,0.3525
202,0.3507
203,0.3504
204,0.3455
205,0.3264
206,0.3379
207,0.3652
208,0.3687
209,0.3764
210,0.375
211,0.3587
212,0.3732
213,0.3796
214,0.3898
215,0.3819
216,0.3975
217,0.3725
218,0.3902
219,0.397
220,0.3981
221,0.4038
222,0.3994
223,0.3923
224,0.3823
225,0.3989
226,0.3942
227,0.3622
228,0.3581
229,0.3684
230,0.3641
231,0.3593
232,0.3867
233,0.419
234,0.3874
235,0.4033
236,0.406
237,0.3995
238,0.4038
239,0.3925
240,0.3888
241,0.3824
242,0.3658
243,0.362
244,0.3691
245,0.3647
246,0.3517
247,0.3601
248,0.3504
249,0.3431
250,0.3366
251,0.337
252,0.3305
253,0.3306
254,0.3175
255,0.3101
256,0.3149
257,0.3051
258,0.3298
259,0.3433
260,0.3429
261,0.3241
262,0.3249
263,0.3494
264,0.3371
265,0.3448
266,0.3321
267,0.3696
268,0.3596
269,0.3715
270,0.3596
271,0.3514
272,0.3557
273,0.3455
274,0.3681
275,0.3811
276,0.3761
277,0.3989
278,0.3919
279,0.3815
280,0.3872
281,0.3894
282,0.3923
283,0.3829
284,0.3835
285,0.3853
286,0.3894
287,0.3971
288,0.4014
289,0.4047
290,0.4251
291,0.4381
292,0.4522
293,0.4513
294,0.4341
295,0.4435
296,0.4163
297,0.4007
298,0.3824
299,0.3956
300,0.3886
301,0.3835
302,0.3945
303,0.4014
304,0.4101
305,0.4043
306,0.4024
307,0.3956
308,0.3868
309,0.3916
310,0.394
311,0.3873
312,0.3942
313,0.3787
314,0.376
315,0.3653
316,0.3633
317,0.3693
318,0.3598
319,0.3705
320,0.3646
321,0.3711
322,0.3669
323,0.3682
324,0.3755
325,0.3714
326,0.3681
327,0.3662
328,0.3602
329,0.3679
330,0.3704
331,0.3638
332,0.3581
333,0.3626
334,0.3667
335,0.3828
336,0.3786
337,0.3779
338,0.3744
339,0.3644
340,0.3782
341,0.3759
342,0.3773
343,0.3514
344,0.3531
345,0.3223
346,0.3228
347,0.2951
348,0.2747
349,0.272
350,0.2748
351,0.2752
352,0.2633
353,0.262
354,0.2632
355,0.2667
356,0.261
357,0.2634
358,0.2705
359,0.2862
360,0.2899
361,0.2966
362,0.2892
363,0.2921
364,0.2805
365,0.2867
366,0.2669
367,0.2752
368,0.2869
369,0.2924
370,0.2916
371,0.2967
372,0.2924
373,0.2839
374,0.2784
375,0.2844
376,0.2907
377,0.2844
378,0.2878
379,0.2927
380,0.289
381,0.3567
382,0.3277
383,0.326
384,0.3146
385,0.3118
386,0.3095
387,0.3226
388,0.3161
389,0.3127
390,0.31
391,0.3171
392,0.3053
393,0.3037
394,0.3069
395,0.3077
396,0.3099
397,0.313
398,0.3156
399,0.307
400,0.3103
401,0.2993
402,0.2922
403,0.2935
404,0.2938
405,0.2923
406,0.291
407,0.2974
408,0.3013
409,0.2965
410,0.2933
411,0.2919
412,0.2894
413,0.2906
414,0.282
415,0.2747
416,0.2553
417,0.264
418,0.2688
419,0.2703
420,0.2628
421,0.2588
422,0.2681
423,0.2659
424,0.2612
425,0.261
426,0.2634
427,0.2676
428,0.2726
429,0.2654
430,0.2554
431,0.2551
432,0.2562
433,0.2559
434,0.2561
435,0.2578
436,0.2577
437,0.2579
438,0.2544
439,0.2533
440,0.249
441,0.2421
442,0.2455
443,0.2487
444,0.2513
445,0.2505
446,0.2503
447,0.2471
448,0.2516
449,0.2548
450,0.2517
451,0.2449
452,0.2449
453,0.2461
454,0.2427
455,0.2459
456,0.2455
457,0.2446
458,0.2489
459,0.2494
460,0.254
461,0.2659
462,0.2591
463,0.261
464,0.2589
465,0.2602
466,0.2646
467,0.2587
468,0.2563
469,0.2513
470,0.249
471,0.2481
472,0.246
473,0.2458
474,0.247
475,0.2473
476,0.2513
477,0.2463
478,0.243
479,0.2469
480,0.2512
481,0.2586
482,0.2639
483,0.2807
484,0.2792
485,0.2808
486,0.2872
487,0.2893
488,0.2909
489,0.2954
490,0.3031
491,0.293
492,0.3071
493,0.323
494,0.3292
495,0.3278
496,0.3419
497,0.3624
498,0.3512
499,0.3577
500,0.3684
501,0.3859
502,0.3844
503,0.3834
504,0.3568
505,0.3579
506,0.3788
507,0.3706
508,0.3671
509,0.3772
510,0.384
511,0.3804
512,0.3566
513,0.3805
514,0.3873
515,0.3862
516,0.3941
517,0.3873
518,0.3777
519,0.3858
520,0.3816
521,0.3759
522,0.3844
523,0.3976
524,0.3949
525,0.4068
526,0.4257
527,0.4429
528,0.4555
529,0.5454
530,0.5791
531,0.5948
532,0.5507
533,0.5784
534,0.6675
535,0.6433
536,0.6004
537,0.6078
538,0.5804
539,0.6021
540,0.5761
541,0.5894
542,0.6351
543,0.6226
544,0.613
545,0.5919
546,0.6242
547,0.6087
548,0.6334
549,0.6158
550,0.6083
551,0.6011
552,0.594
553,0.6232
554,0.605
555,0.5569
556,0.5699
557,0.5414
558,0.5227
559,0.4945
560,0.5412
561,0.5124
562,0.566
563,0.582
564,0.5476
565,0.5491
566,0.5251
567,0.5276
568,0.5356
569,0.5282
570,0.5026
571,0.5044
572,0.516
573,0.5032
574,0.4786
575,0.4773
576,0.4765
577,0.4666
578,0.4849
579,0.4862
580,0.4903
581,0.526
582,0.5136
583,0.4976
584,0.5078
585,0.5146
586,0.5124
587,0.4934
588,0.4944
589,0.4983
590,0.5022
591,0.5304
592,0.5407
593,0.5515
594,0.5414
595,0.5592
596,0.5449
597,0.5768
598,0.6087
599,0.5986
600,0.6096
601,0.6193
602,0.6308
603,0.6216
604,0.5988
605,0.5858
606,0.5824
607,0.5969
608,0.5914
609,0.6191
610,0.6239
611,0.6287
612,0.6547
613,0.7195
614,0.7416
615,0.7279
616,0.7701
617,0.6923
618,0.7349
619,0.7427
620,0.7228
621,0.7416
622,0.7166
623,0.7754
624,0.7481
625,0.7638
626,0.7509
627,0.7274
628,0.6591
629,0.6814
630,0.6603
631,0.5864
632,0.6396
633,0.6318
634,0.6147
635,0.6232
636,0.6468
637,0.6567
638,0.665
639,0.6478
640,0.6511
641,0.6643
642,0.6436
643,0.6501
644,0.6212
645,0.5807
646,0.5693
647,0.5831
648,0.5741
649,0.5836
650,0.5892
651,0.6137
652,0.5912
653,0.5862
654,0.5858
655,0.5027
656,0.4449
657,0.4673
658,0.461
659,0.4583
660,0.444
661,0.458
662,0.4682
663,0.5072
664,0.4993
665,0.5167
666,0.5
667,0.4746
668,0.4705
669,0.4631
670,0.4675
671,0.4603
672,0.4571
673,0.4412
674,0.4501
675,0.4578
676,0.4673
677,0.4633
678,0.458
679,0.4541
680,0.4414
681,0.4518
682,0.4635
683,0.4479
684,0.439
685,0.4377
686,0.4368
687,0.4285
688,0.4524
689,0.4597
690,0.4824
691,0.482
692,0.4672
693,0.502
694,0.4946
695,0.4835
696,0.4656
697,0.4601
698,0.4623
699,0.4581
700,0.4683
701,0.4576
702,0.4512
703,0.4465
704,0.447
705,0.4499
706,0.4465
707,0.4573
708,0.4615
709,0.4613
710,0.4582
711,0.4492
712,0.4368
713,0.4442
714,0.4406
715,0.422
716,0.4378
717,0.421
718,0.412
719,0.414
720,0.4168
721,0.4013
722,0.3837
723,0.3844
724,0.3844
725,0.376
726,0.3846
727,0.38
728,0.3777
729,0.3918
730,0.385
731,0.3913
732,0.3858
733,0.3841
734,0.3924
735,0.4032
736,0.4184
737,0.4069
738,0.3623
739,0.3501
740,0.3707
741,0.3466
742,0.3691
743,0.3754
744,0.3885
745,0.3959
746,0.4165
747,0.4416
748,0.4317
749,0.4449
750,0.4381
751,0.4359
752,0.4234
753,0.439
754,0.4373
755,0.4469
756,0.4262
757,0.41
758,0.4063
759,0.3948
760,0.4172
761,0.4176
762,0.4073
763,0.4031
764,0.4015
765,0.3882
766,0.3925
767,0.3636
768,0.3646
769,0.3442
770,0.3119
771,0.331
772,0.3241
773,0.3516
774,0.3483
775,0.3457
776,0.3276
777,0.339
778,0.34
779,0.3352
780,0.3248
781,0.3301
782,0.3373
783,0.3342
784,0.3367
785,0.3434
786,0.3689
787,0.3763
788,0.3912
789,0.3935
790,0.3849
