,close
0,233.8
1,226.9
2,219.7
3,219.6
4,216.9
5,218.3
6,219.2
7,231.5
8,230.8
9,238.6
10,241.4
11,240.7
12,243.3
13,234.7
14,225.6
15,220.6
16,230.5
17,238.5
18,238.5
19,249.8
20,247.8
21,264.1
22,268.6
23,258.2
24,265.6
25,262.4
26,259.2
27,261.4
28,244.6
29,249.4
30,271.6
31,277.2
32,293.6
33,287.8
34,283.4
35,283.2
36,283.8
37,297.5
38,311.8
39,315.9
40,315.2
41,322.8
42,324.9
43,324.4
44,328.8
45,323.6
46,327.9
47,324.3
48,317.6
49,319.5
50,316.1
51,306.9
52,298.1
53,279.1
54,283.7
55,301.9
56,300.0
57,299.3
58,296.4
59,301.2
60,279.6
61,277.9
62,276.5
63,285.9
64,281.6
65,279.2
66,278.3
67,277.5
68,277.8
69,279.1
70,276.9
71,262.5
72,278.9
73,280.5
74,293.4
75,296.7
76,295.3
77,294.1
78,277.4
79,279.3
80,271.1
81,274.9
82,279.1
83,266.2
84,271.9
85,266.3
86,264.0
87,275.3
88,276.7
89,274.4
90,274.3
91,276.1
92,272.3
93,281.6
94,284.1
95,284.8
96,282.9
97,284.7
98,286.9
99,296.2
100,294.2
101,287.0
102,282.3
103,276.4
104,278.2
105,271.5
106,271.4
107,270.9
108,271.6
109,269.4
110,268.2
111,272.5
112,275.6
113,273.1
114,272.0
115,269.0
116,270.1
117,270.4
118,276.0
119,274.1
120,284.2
121,290.2
122,286.7
123,297.9
124,304.4
125,313.5
126,325.7
127,323.9
128,320.2
129,329.5
130,354.6
131,349.2
132,337.9
133,337.0
134,327.4
135,267.3
136,304.0
137,290.4
138,282.8
139,276.4
140,279.0
141,277.0
142,271.8
143,267.9
144,274.1
145,272.6
146,264.2
147,253.9
148,266.7
149,298.8
150,300.2
151,300.8
152,311.4
153,307.6
154,293.5
155,295.4
156,300.6
157,292.3
158,293.4
159,290.4
160,291.8
161,288.4
162,290.2
163,284.2
164,290.4
165,286.0
166,288.2
167,284.4
168,276.1
169,272.2
170,267.7
171,258.8
172,231.2
173,242.1
174,251.0
175,240.4
176,251.4
177,246.2
178,245.8
179,246.2
180,244.5
181,243.2
182,244.3
183,246.7
184,244.5
185,246.3
186,245.8
187,246.3
188,244.4
189,245.2
190,246.1
191,258.9
192,256.7
193,259.9
194,261.3
195,274.9
196,272.6
197,277.1
198,284.8
199,287.7
200,293.7
201,305.1
202,302.2
203,299.0
204,299.4
205,286.7
206,294.6
207,305.1
208,299.0
209,303.0
210,305.1
211,300.3
212,306.9
213,304.7
214,308.0
215,306.1
216,317.2
217,307.2
218,312.0
219,317.0
220,323.5
221,332.2
222,330.4
223,327.8
224,324.3
225,333.0
226,328.2
227,306.2
228,305.8
229,310.4
230,312.6
231,294.3
232,296.2
233,317.4
234,304.4
235,313.0
236,316.5
237,311.5
238,315.4
239,311.5
240,312.4
241,308.3
242,302.3
243,302.4
244,308.7
245,304.6
246,301.4
247,302.7
248,299.8
249,290.4
250,289.6
251,288.7
252,287.8
253,289.3
254,287.1
255,277.1
256,277.4
257,276.0
258,288.1
259,307.9
260,308.4
261,306.3
262,329.4
263,338.9
264,331.0
265,336.7
266,332.5
267,334.4
268,321.1
269,329.4
270,322.1
271,322.4
272,328.6
273,310.6
274,313.2
275,313.7
276,316.4
277,316.9
278,314.9
279,313.7
280,308.8
281,310.8
282,313.9
283,312.3
284,310.3
285,310.5
286,312.8
287,318.5
288,322.3
289,319.9
290,324.7
291,328.9
292,333.0
293,347.7
294,340.0
295,343.1
296,322.4
297,318.1
298,321.2
299,332.2
300,330.7
301,331.2
302,338.4
303,330.6
304,330.9
305,324.1
306,321.9
307,337.5
308,328.5
309,321.5
310,325.9
311,323.8
312,326.5
313,321.9
314,321.0
315,313.8
316,312.1
317,314.3
318,307.5
319,308.5
320,310.7
321,312.1
322,313.4
323,311.4
324,314.3
325,309.3
326,308.9
327,310.6
328,306.4
329,309.0
330,313.5
331,306.0
332,304.5
333,306.8
334,307.4
335,314.1
336,311.6
337,311.5
338,306.8
339,304.9
340,307.2
341,306.6
342,305.0
343,276.9
344,281.2
345,259.3
346,262.0
347,260.5
348,238.7
349,235.4
350,231.3
351,244.2
352,237.9
353,236.4
354,239.3
355,244.5
356,244.1
357,243.1
358,247.7
359,248.8
360,240.8
361,244.3
362,236.4
363,238.8
364,236.1
365,237.5
366,230.6
367,233.1
368,240.3
369,247.9
370,246.5
371,246.5
372,242.5
373,238.9
374,232.2
375,235.6
376,236.3
377,234.1
378,246.2
379,248.6
380,243.9
381,256.1
382,248.1
383,251.1
384,242.3
385,244.1
386,240.2
387,240.8
388,242.8
389,243.7
390,241.1
391,242.5
392,238.9
393,237.7
394,239.0
395,240.6
396,241.9
397,242.4
398,242.5
399,241.0
400,247.7
401,240.7
402,241.1
403,241.7
404,243.2
405,243.2
406,242.1
407,245.2
408,243.8
409,241.5
410,239.7
411,240.3
412,240.2
413,240.4
414,236.7
415,232.0
416,218.1
417,216.1
418,216.8
419,216.5
420,210.4
421,210.9
422,216.6
423,219.0
424,218.4
425,216.5
426,218.4
427,218.8
428,226.9
429,223.8
430,216.7
431,213.7
432,214.4
433,214.4
434,215.2
435,214.6
436,215.2
437,217.1
438,214.7
439,214.1
440,212.4
441,206.1
442,210.7
443,212.5
444,212.2
445,214.1
446,214.9
447,216.5
448,216.0
449,217.2
450,214.4
451,210.8
452,211.1
453,210.5
454,208.3
455,209.9
456,212.6
457,212.0
458,215.0
459,215.2
460,214.6
461,218.2
462,214.6
463,213.5
464,213.4
465,210.6
466,213.4
467,212.3
468,211.4
469,205.8
470,208.6
471,206.6
472,205.1
473,206.1
474,206.5
475,209.7
476,214.6
477,211.4
478,210.2
479,211.2
480,212.1
481,214.2
482,217.8
483,228.5
484,225.2
485,222.1
486,223.2
487,224.1
488,225.7
489,227.1
490,228.0
491,226.2
492,227.9
493,231.9
494,230.2
495,237.1
496,244.0
497,255.1
498,246.2
499,246.7
500,251.6
501,251.0
502,251.5
503,247.4
504,241.1
505,242.3
506,253.7
507,242.7
508,244.9
509,244.8
510,246.4
511,253.1
512,225.5
513,236.1
514,233.8
515,232.7
516,234.4
517,231.7
518,227.2
519,229.6
520,227.3
521,227.6
522,228.5
523,229.0
524,228.1
525,233.5
526,231.2
527,229.4
528,232.6
529,238.9
530,237.7
531,239.8
532,246.4
533,254.6
534,252.0
535,253.3
536,244.9
537,244.4
538,238.8
539,241.7
540,252.9
541,260.3
542,272.1
543,271.1
544,271.0
545,264.5
546,266.9
547,297.7
548,324.1
549,322.6
550,313.7
551,317.1
552,311.8
553,313.5
554,312.2
555,315.8
556,323.7
557,317.5
558,307.5
559,302.4
560,303.7
561,301.1
562,305.8
563,308.2
564,296.6
565,302.2
566,299.5
567,317.5
568,315.2
569,309.4
570,313.0
571,314.7
572,317.2
573,318.6
574,305.9
575,298.8
576,293.1
577,292.1
578,302.2
579,305.6
580,305.3
581,310.7
582,307.6
583,300.5
584,300.2
585,301.4
586,299.7
587,304.7
588,301.2
589,302.7
590,307.3
591,319.2
592,324.0
593,323.0
594,320.7
595,327.8
596,324.7
597,333.9
598,354.2
599,360.4
600,352.9
601,349.8
602,351.6
603,354.6
604,379.2
605,382.6
606,375.5
607,381.7
608,388.5
609,401.6
610,394.6
611,414.6
612,399.4
613,407.4
614,410.9
615,414.5
616,418.4
617,394.1
618,429.4
619,474.6
620,485.8
621,488.3
622,528.9
623,523.0
624,537.5
625,630.5
626,603.2
627,632.7
628,576.4
629,571.7
630,555.4
631,507.7
632,556.8
633,553.8
634,553.8
635,551.9
636,567.7
637,587.0
638,580.4
639,574.3
640,583.4
641,612.5
642,600.7
643,606.7
644,575.8
645,551.4
646,561.5
647,585.5
648,577.8
649,585.4
650,583.9
651,586.4
652,580.5
653,609.7
654,604.6
655,595.6
656,553.1
657,566.4
658,552.7
659,537.6
660,534.1
661,552.1
662,554.0
663,570.9
664,579.6
665,604.5
666,606.2
667,608.8
668,613.2
669,598.0
670,596.2
671,600.2
672,592.8
673,578.4
674,561.8
675,560.5
676,587.0
677,585.7
678,592.0
679,588.2
680,576.5
681,588.6
682,596.8
683,585.6
684,592.2
685,594.8
686,591.7
687,567.1
688,581.0
689,569.2
690,580.9
691,580.3
692,574.5
693,599.6
694,618.5
695,614.8
696,599.3
697,600.3
698,602.4
699,600.2
700,603.9
701,601.7
702,595.7
703,595.1
704,593.7
705,601.9
706,602.9
707,626.4
708,685.7
709,698.8
710,711.2
711,684.0
712,682.7
713,673.0
714,625.1
715,602.5
716,619.4
717,599.8
718,603.3
