,close
0,0.3537
1,0.3375
2,0.3296
3,0.3321
4,0.3139
5,0.3156
6,0.3215
7,0.3287
8,0.3252
9,0.3324
10,0.3422
11,0.3402
12,0.3448
13,0.3255
14,0.3152
15,0.3116
16,0.3237
17,0.3338
18,0.3342
19,0.3505
20,0.3433
21,0.3653
22,0.3729
23,0.3635
24,0.3669
25,0.3578
26,0.3592
27,0.3586
28,0.3362
29,0.3372
30,0.3594
31,0.3739
32,0.3679
33,0.3879
34,0.3792
35,0.3791
36,0.3714
37,0.3695
38,0.371
39,0.3764
40,0.3715
41,0.3722
42,0.3787
43,0.3672
44,0.3814
45,0.3802
46,0.3796
47,0.378
48,0.3757
49,0.3751
50,0.377
51,0.3795
52,0.3704
53,0.3344
54,0.3368
55,0.3449
56,0.344
57,0.3472
58,0.3456
59,0.3491
60,0.3393
61,0.3346
62,0.3224
63,0.3337
64,0.3267
65,0.3277
66,0.3331
67,0.3314
68,0.3297
69,0.3317
70,0.3329
71,0.3212
72,0.3369
73,0.3396
74,0.3568
75,0.3573
76,0.3552
77,0.3598
78,0.3326
79,0.3415
80,0.3261
81,0.3552
82,0.3762
83,0.3576
84,0.3848
85,0.414
86,0.3936
87,0.4862
88,0.5069
89,0.4878
90,0.4917
91,0.4683
92,0.4457
93,0.4489
94,0.4877
95,0.4799
96,0.4754
97,0.4485
98,0.4621
99,0.4795
100,0.4887
101,0.4934
102,0.5177
103,0.517
104,0.5325
105,0.4939
106,0.4861
107,0.4881
108,0.4791
109,0.4883
110,0.4818
111,0.4766
112,0.4804
113,0.4658
114,0.4504
115,0.4465
116,0.4614
117,0.4653
118,0.4688
119,0.4529
120,0.4605
121,0.4689
122,0.4615
123,0.4744
124,0.4701
125,0.4582
126,0.4641
127,0.4636
128,0.4497
129,0.4548
130,0.5064
131,0.493
132,0.4709
133,0.4648
134,0.4059
135,0.3331
136,0.3942
137,0.3843
138,0.3636
139,0.3408
140,0.3776
141,0.3888
142,0.3752
143,0.3819
144,0.3829
145,0.3841
146,0.3608
147,0.3645
148,0.3757
149,0.3815
150,0.4018
151,0.4078
152,0.396
153,0.3962
154,0.3888
155,0.3981
156,0.4078
157,0.3969
158,0.3961
159,0.3873
160,0.3895
161,0.3893
162,0.3914
163,0.3835
164,0.3941
165,0.3889
166,0.3865
167,0.3809
168,0.3874
169,0.3952
170,0.3853
171,0.378
172,0.3511
173,0.3545
174,0.3499
175,0.3389
176,0.3482
177,0.3449
178,0.3492
179,0.3543
180,0.3517
181,0.3457
182,0.3658
183,0.3675
184,0.3558
185,0.3421
186,0.3451
187,0.3389
188,0.3387
189,0.3482
190,0.3436
191,0.3472
192,0.338
193,0.3443
194,0.3442
195,0.3452
196,0.349
197,0.3507
198,0.3728
199,0.3748
200,0.3858
201,0.3953
202,0.3845
203,0.3855
204,0.3868
205,0.3782
206,0.3928
207,0.4129
208,0.4034
209,0.4004
210,0.4234
211,0.4078
212,0.417
213,0.4092
214,0.4128
215,0.4078
216,0.4134
217,0.3934
218,0.4057
219,0.4131
220,0.4098
221,0.4117
222,0.4106
223,0.3984
224,0.392
225,0.4036
226,0.3975
227,0.3819
228,0.3817
229,0.3833
230,0.3747
231,0.3703
232,0.3819
233,0.4011
234,0.3841
235,0.395
236,0.3943
237,0.3863
238,0.3984
239,0.3919
240,0.3953
241,0.3882
242,0.3783
243,0.3778
244,0.3779
245,0.3785
246,0.3762
247,0.3835
248,0.3772
249,0.3774
250,0.3735
251,0.3668
252,0.3695
253,0.3801
254,0.3889
255,0.3706
256,0.37
257,0.3638
258,0.3714
259,0.3724
260,0.3724
261,0.3589
262,0.3647
263,0.3798
264,0.3739
265,0.3857
266,0.3734
267,0.4696
268,0.4213
269,0.4438
270,0.4259
271,0.4429
272,0.4479
273,0.479
274,0.5144
275,0.5425
276,0.5319
277,0.5374
278,0.5095
279,0.518
280,0.4959
281,0.5026
282,0.5055
283,0.5028
284,0.5126
285,0.5048
286,0.5054
287,0.5176
288,0.5167
289,0.5049
290,0.5125
291,0.5227
292,0.5192
293,0.5209
294,0.5109
295,0.5324
296,0.4911
297,0.4752
298,0.4491
299,0.4719
300,0.4647
301,0.4611
302,0.4695
303,0.4618
304,0.4667
305,0.4796
306,0.478
307,0.4705
308,0.4649
309,0.4645
310,0.4632
311,0.4608
312,0.4671
313,0.4582
314,0.449
315,0.4283
316,0.4289
317,0.4303
318,0.4207
319,0.4305
320,0.424
321,0.4253
322,0.4273
323,0.4425
324,0.4484
325,0.4596
326,0.4675
327,0.4685
328,0.4575
329,0.4618
330,0.4651
331,0.453
332,0.4538
333,0.4684
334,0.4714
335,0.482
336,0.4946
337,0.5205
338,0.5166
339,0.5065
340,0.5244
341,0.5188
342,0.5359
343,0.509
344,0.53
345,0.5183
346,0.5236
347,0.538
348,0.5067
349,0.5208
350,0.5251
351,0.5192
352,0.4801
353,0.4801
354,0.4759
355,0.4794
356,0.4868
357,0.4936
358,0.4929
359,0.4999
360,0.4938
361,0.4961
362,0.4865
363,0.4903
364,0.479
365,0.4838
366,0.4647
367,0.4747
368,0.4729
369,0.4732
370,0.4845
371,0.489
372,0.4872
373,0.4777
374,0.4622
375,0.4687
376,0.4704
377,0.468
378,0.478
379,0.4753
380,0.471
381,0.8153
382,0.7179
383,0.7145
384,0.7468
385,0.7374
386,0.7779
387,0.8199
388,0.7942
389,0.7713
390,0.7331
391,0.7384
392,0.7021
393,0.7089
394,0.7161
395,0.7139
396,0.712
397,0.7121
398,0.7046
399,0.6976
400,0.7069
401,0.685
402,0.663
403,0.6356
404,0.6288
405,0.624
406,0.6236
407,0.6418
408,0.6433
409,0.6331
410,0.6318
411,0.6276
412,0.6256
413,0.6343
414,0.6104
415,0.5889
416,0.5064
417,0.5062
418,0.5199
